"",Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
"Crab, red rock................................",,0,0,"3,999","12,511","14,221","15,553","18,321","22,991","19,230","15,320","17,210","16,568","155,923"
"Crab, rock unspecified....................",,"76,642","73,743","87,879","58,412","75,843","92,922","82,274","96,308","83,097","57,409","55,145","46,443","886,128"
"Crab, spider...................................",,"9,886","7,691","9,958","4,486","5,173","4,905","5,909","5,065","4,356","6,734","8,667","6,691","79,520"
"Crab, spider/sheep claws...............",,24,61,6,0,0,23,37,0,4,0,20,0,175
"Crab, yellow rock............................",,0,0,"6,631","25,279","26,945","24,857","23,747","29,116","27,944","24,695","21,718","27,437","238,369"
"Crayfish, red swamp......................",,0,0,0,0,0,0,0,0,450,75,0,0,525
"Crayfish, unspecified......................",,"1,104","1,028",903,"1,198","6,888","8,213","10,241","48,600","66,555","11,808","5,443","4,218","166,199"
"Crustacean, unspecified.................",,0,0,1,12,0,1,1,5,12,14,73,45,165
"Lobster, California spiny.................",,"68,854","47,650","35,603",0,0,0,0,0,0,"279,312","138,639","92,972","663,031"
"Prawn, ridgeback...........................",,"49,585","35,726","28,427","26,062","38,006",11,0,30,37,"27,283","35,758","37,277","278,202"
"Prawn, spot....................................",,"7,342","23,126","29,745","24,250","34,129","24,870","22,171","27,224","24,920","28,797","10,699","3,025","260,298"
Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
Crustaceans,,,,,,,,,,,,,
"Shrimp, bay....................................","5,850","4,355","4,222","2,957","2,599","3,186","4,091","5,460","3,960","5,176","5,103","3,560","50,519"
"Shrimp, brine..................................",0,0,0,"6,407","64,429","181,762","202,474","187,498","125,779",0,0,0,"768,349"
"Shrimp, coonstriped.......................",0,0,0,0,"8,523","1,052",882,"3,071","3,626","4,988",0,0,"22,142"
"Shrimp, ghost.................................",2,0,0,0,0,0,0,9,7,7,11,8,42
"Shrimp, mantis...............................",44,178,57,0,0,0,0,0,0,0,0,21,300
"Shrimp, ocean (pink).................",0,0,0,0,23,"144,248","236,021","192,377","64,275",0,0,0,"636,944"
Echinoderms,,,,,,,,,,,,,
Bryozoan........................................,0,0,20,0,0,5,0,0,5,5,0,0,35
"Echinoderm, unspecified................",0,0,20,7,2,0,0,10,0,5,0,0,44
Sand dollar.....................................,5,0,30,10,4,11,4,0,35,27,0,10,136
"Sea cucumber, giant red................","3,071","1,520","2,935","4,961","7,546","29,505","16,892","15,945","7,220","12,633","14,850","2,227","119,305"
"Sea cucumber, unspecified............","1,865","2,574",90,70,130,490,"1,389","5,751",185,0,30,15,"12,589"
"Sea cucumber, warty.....................","20,928","27,826","86,613","44,287","62,411","38,437","34,803","25,045","9,797",429,702,"2,918","354,194"
Sea stars........................................,4,75,88,17,13,"1,922",4,89,"2,402","1,270","2,115",0,"7,999"
"Sea urchin, purple..........................",257,55,134,144,304,534,"1,184",40,385,105,71,100,"3,313"
"Sea urchin, red...............................","1,143,636","571,985","1,205,194","454,998","1,182,926","670,947","650,157","1,028,486","1,028,273","1,133,969","1,136,165","930,207","11,136,943"
Mollusks,,,,,,,,,,,,,
"Chiton, unspecified.........................",0,0,0,0,0,2,0,0,0,0,0,0,2
"Limpet, keyhole..............................",0,0,1,225,0,25,400,91,119,115,0,0,976
"Limpet, unspecified........................",0,0,0,0,0,13,0,0,0,0,0,0,13
"Mollusk, unspecified.......................",0,5,1,404,193,0,0,0,0,0,3,0,606
Mussel...........................................,822,20,0,45,0,30,0,0,0,0,0,80,997
"Octopus, unspecified......................",34,256,633,484,177,150,210,633,86,80,31,31,"2,803"
"Oyster, giant Pacific.......................",5,0,0,0,0,0,0,0,0,0,0,0,5
Sea hare........................................,789,656,624,420,799,615,806,646,715,500,610,333,"7,513"
Sea slug.........................................,0,0,0,0,0,0,0,0,0,0,0,0,0
"Snail, bubble..................................",1,0,0,0,0,0,0,0,0,0,0,0,1
"Snail, sea.......................................",149,5,1,0,0,120,127,0,0,0,161,852,"1,415"
"Snail, tegula...................................",0,0,125,0,0,0,0,121,125,0,0,0,371
"Snail, top........................................",0,0,10,18,182,25,10,0,0,7,178,45,475
"Squid, jumbo..................................","5,491",355,383,40,"1,374","14,020","110,237","18,558","3,180","1,397","6,079","2,946","164,060"
"Squid, market.................................","17,195,250","34,541,296","734,443","34,961","136,254","604,330","1,077,424","332,284","69,059","6,047,914","19,873,080","28,345,666","108,991,960"
"Whelk, Kellet's................................","20,356","13,171","17,727","11,126","17,440","15,027","25,133","13,956","6,573","7,007","12,461","12,062","172,038"
Plants,,,,,,,,,,,,,
"Algae, marine.................................",0,0,10,0,5,7,5,20,3,11,0,0,61
Kelp................................................,0,0,750,30,4,0,0,15,70,0,0,0,869
Worms,,,,,,,,,,,,,
"",Species,January,February,March,April,May June,,July,August September,October,,November,December,Landings
Worms,,,,,,,,,,,,,,
Invertebrate Unspecified................,,10,17,0,5,0  15,,1,0,0,15,3,0,67
"Invertebrates, colonial....................",,0,0,0,0,0  0,,0,5,0,0,0,0,5
Sea pansy......................................,,1,1,1,1,0  2,,0,0,0,1,0,0,7
"Spiders, sea...................................",,0,0,0,0,0  0,,16,0,0,0,0,0,16
Tunicates.......................................,,0,0,3,0,0  0,,0,0,0,0,0,0,3
"",Total Pounds:,"42,445,799","46,710,671","25,613,157","16,686,548","24,630,060  23,885,469","18,911,823",,"26,215,764  25,709,615","35,855,034",,"51,983,652","44,766,114","383,413,715"
"",,,,,,*******************,,,Total Records:,"110,086",,,,
"",,,,,,End of Report,,,,,,,,
